Date,text,Sentiment,comment_id,sentiment
05/10/2014 19:59,dilma rousseff pt aecio neves psdb vao disputar turno,neutro,2,-1
05/10/2014 19:59,voces idolatrando aecio minimo nao sabem nada sobre governo so vao status odiar dilma parabens galera,negativo,5,0
05/10/2014 19:59,coisa nordestino votar dilma so causa bolsa familia mentira aqui trabalhador gentr q acorda cedo pra trabalha,positivo,9,0
05/10/2014 19:59,unica coisa n queria alckmin governador dilma aceito,neutro,13,1
05/10/2014 19:59,aaaargh odio desse povo brasileiro faz protesto faz caralho quatro pra chegar hoje votar dilma,negativo,15,-1
05/10/2014 19:59,toma porra to revoltada pais retardado q vota dilma meoooo,negativo,21,1
05/10/2014 19:59,dilma pegou pais ja estabilizado sistema pt anos ja pt facil assim nao,positivo,24,1
05/10/2014 19:59,verdade vamos ver marina outros vao apoiar dilma atacou marina vamos ver agora ne,neutro,29,0
05/10/2014 19:59,dilma aecio segundo turno voces sao otarios,neutro,31,1
05/10/2014 19:59,culpa nao dilma vc trouxa ir la protesto falar mal dps votar mesma,negativo,34,-1
05/10/2014 19:59,mae mae petista feio ta querendo cumer mae bua bua so fiinho di papai maie bua bua dilma feia vai ganhar di novo bua bua,negativo,36,-1
05/10/2014 19:59,falou vai votar dilma ancia d vomito,neutro,39,-1
05/10/2014 19:59,acredito q eleitores marina tb vao pra dilma sei la ne,positivo,40,-1
05/10/2014 19:59,muda brasil dilma barbudo safado,neutro,46,-1
05/10/2014 19:59,dilma vai ganhar gente infelizmente,positivo,48,0
05/10/2014 19:59,muy buena votacion del democrata neves solo dilma supera el dif voto obligatorio vuelve muy incierta la vuelta,positivo,53,0
05/10/2014 19:59,visto infelizmente vou ter votar dilma segundo turno,negativo,57,-1
05/10/2014 19:59,hrs dilma ganhar pq roubado ganhar apoio mega protesto foradilma likelike share,positivo,59,-1
05/10/2014 19:59,dilma nao menos aecio nao eita povo lerdo,positivo,60,-1
05/10/2014 19:59,dilma jair pedro protesto ja nao ninguem joao paulo rene patriota edilson silva,neutro,62,1
05/10/2014 19:59,tambem nao recebo bolsa familia deixem votar dilma,neutro,63,-1
05/10/2014 19:59,voces votaram dilma esperando faca algo bom vao ficar esperando porque algo nao fez fara,positivo,67,0
05/10/2014 19:59,rt so dica dilma cair servidor cai tambem viu concurso so kakakak,neutro,69,1
05/10/2014 19:59,tbm n leq aecio ganhar acabou pais esperanca porra toda dilma fdp melhor deixar dilma,positivo,73,1
05/10/2014 19:59,vou votar nulo segundo turno recuso votar dilma aecio,neutro,75,-3
05/10/2014 19:59,povo pra rua protestar meteu pau dilma pra hoje ta ai primeiro lugar povo hipocrita,positivo,76,-1
05/10/2014 19:59,definido dilma aecio votos vao segundo turno,neutro,80,-1
05/10/2014 19:59,alguem conhece alguem algo ganhar eleicao aecio nao gosto dilma nao,neutro,89,0
05/10/2014 19:59,gente dilma ganhar aecio cu rolaaaaa,positivo,91,0
05/10/2014 19:59,urnas apuradas dilma rousseff pt aecio neves psdb vao disputar segundo turno eleicoes presidenciais,negativo,95,-1
05/10/2014 19:59,dilma aecio turno ai cu dilma nao pode ganhar galero,negativo,98,0
05/10/2014 19:59,aecio ganhar ferrou tudo prefiro x tia dilma,neutro,100,0
05/10/2014 19:59,tambem ja viu escolas alguns lugares sao enfim ta sacanagem votar dilma,neutro,101,0
05/10/2014 19:59,perdi dia pastel caldo cana pra ver dilma ganhando porra,positivo,102,1
05/10/2014 19:59,queda livre x ascensao segundo turno dilma aecio nao dilma marina pesquisas sao furadas,positivo,105,1
05/10/2014 19:59,chupaaaa dilma trouxa aecio vai ganhar uhull,positivo,106,0
05/10/2014 19:59,engracado povo vota dilma reclama certas situacoes passam,positivo,111,1
05/10/2014 19:59,so vendo tml gente vota citando protestos ano passado pra dilma,neutro,115,-1
05/10/2014 19:59,aecio ganhar ate marina serve dilma filha capeta naooooo,positivo,121,0
05/10/2014 19:59,en un resultado inesperado dilma y aecio neves van segunda vuelta en brasil,positivo,132,0
05/10/2014 19:59,rj marina bem perto dilma votos apoiar vai ser bem vindo,positivo,135,1
05/10/2014 19:59,ta decidido dilma porra otaria vaca odeio pega aecio segundo turno,negativo,138,1
05/10/2014 19:59,nao to acreditando vou ter ter trabalho sair casa pra poder votar dilma aecio,neutro,145,-1
05/10/2014 19:59,governo dilma passou longe perfeito outros candidatos poderia ser menos pior nao acha,positivo,149,0
