Date,Sentiment
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,-3
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,-2
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-2
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,-2
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,-2
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,-3
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,-2
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,-2
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-2
05/10/2014 19:59,-1
05/10/2014 19:59,-2
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,2
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-2
05/10/2014 19:59,1
05/10/2014 19:59,2
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,2
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,-1
05/10/2014 19:59,0
05/10/2014 19:59,0
